model,resolution,category,gmacs,pct_of_total
deit3_medium_patch16_224,256,ffn_mlp,6.4676,65.87
deit3_medium_patch16_224,256,attention_qkv,2.4254,24.70
deit3_medium_patch16_224,256,attention_proj,0.8085,8.23
deit3_medium_patch16_224,256,patch_embed,0.1007,1.03
deit3_medium_patch16_224,256,norm,0.0164,0.17
deit3_medium_patch16_224,256,other,0.0000,0.00
deit3_medium_patch16_224,256,attention_other,0.0000,0.00
deit3_medium_patch16_224,256,head,0.0000,0.00
deit3_medium_patch16_224,384,ffn_mlp,14.5207,65.87
deit3_medium_patch16_224,384,attention_qkv,5.4453,24.70
deit3_medium_patch16_224,384,attention_proj,1.8151,8.23
deit3_medium_patch16_224,384,patch_embed,0.2265,1.03
deit3_medium_patch16_224,384,norm,0.0369,0.17
deit3_medium_patch16_224,384,other,0.0000,0.00
deit3_medium_patch16_224,384,attention_other,0.0000,0.00
deit3_medium_patch16_224,384,head,0.0000,0.00
deit3_medium_patch16_224,512,ffn_mlp,25.7950,65.87
deit3_medium_patch16_224,512,attention_qkv,9.6731,24.70
deit3_medium_patch16_224,512,attention_proj,3.2244,8.23
deit3_medium_patch16_224,512,patch_embed,0.4027,1.03
deit3_medium_patch16_224,512,norm,0.0656,0.17
deit3_medium_patch16_224,512,other,0.0000,0.00
deit3_medium_patch16_224,512,attention_other,0.0000,0.00
deit3_medium_patch16_224,512,head,0.0000,0.00
deit3_medium_patch16_224,768,ffn_mlp,58.0072,65.87
deit3_medium_patch16_224,768,attention_qkv,21.7527,24.70
deit3_medium_patch16_224,768,attention_proj,7.2509,8.23
deit3_medium_patch16_224,768,patch_embed,0.9060,1.03
deit3_medium_patch16_224,768,norm,0.1475,0.17
deit3_medium_patch16_224,768,other,0.0000,0.00
deit3_medium_patch16_224,768,attention_other,0.0000,0.00
deit3_medium_patch16_224,768,head,0.0000,0.00
deit3_medium_patch16_224,1024,ffn_mlp,103.1044,65.87
deit3_medium_patch16_224,1024,attention_qkv,38.6641,24.70
deit3_medium_patch16_224,1024,attention_proj,12.8880,8.23
deit3_medium_patch16_224,1024,patch_embed,1.6106,1.03
deit3_medium_patch16_224,1024,norm,0.2622,0.17
deit3_medium_patch16_224,1024,other,0.0000,0.00
deit3_medium_patch16_224,1024,attention_other,0.0000,0.00
deit3_medium_patch16_224,1024,head,0.0000,0.00
deit3_base_patch16_224,64,ffn_mlp,0.9626,66.16
deit3_base_patch16_224,64,attention_qkv,0.3610,24.81
deit3_base_patch16_224,64,attention_proj,0.1203,8.27
deit3_base_patch16_224,64,patch_embed,0.0094,0.65
deit3_base_patch16_224,64,norm,0.0016,0.11
deit3_base_patch16_224,64,other,0.0000,0.00
deit3_base_patch16_224,64,attention_other,0.0000,0.00
deit3_base_patch16_224,64,head,0.0000,0.00
deit3_base_patch16_224,96,ffn_mlp,2.0951,66.14
deit3_base_patch16_224,96,attention_qkv,0.7856,24.80
deit3_base_patch16_224,96,attention_proj,0.2619,8.27
deit3_base_patch16_224,96,patch_embed,0.0212,0.67
deit3_base_patch16_224,96,norm,0.0036,0.11
deit3_base_patch16_224,96,other,0.0000,0.00
deit3_base_patch16_224,96,attention_other,0.0000,0.00
deit3_base_patch16_224,96,head,0.0000,0.00
deit3_base_patch16_224,128,ffn_mlp,3.6805,66.14
deit3_base_patch16_224,128,attention_qkv,1.3802,24.80
deit3_base_patch16_224,128,attention_proj,0.4601,8.27
deit3_base_patch16_224,128,patch_embed,0.0377,0.68
deit3_base_patch16_224,128,norm,0.0062,0.11
deit3_base_patch16_224,128,other,0.0000,0.00
deit3_base_patch16_224,128,attention_other,0.0000,0.00
deit3_base_patch16_224,128,head,0.0000,0.00
deit3_base_patch16_224,160,ffn_mlp,5.7189,66.14
deit3_base_patch16_224,160,attention_qkv,2.1446,24.80
deit3_base_patch16_224,160,attention_proj,0.7149,8.27
deit3_base_patch16_224,160,patch_embed,0.0590,0.68
deit3_base_patch16_224,160,norm,0.0097,0.11
deit3_base_patch16_224,160,other,0.0000,0.00
deit3_base_patch16_224,160,attention_other,0.0000,0.00
deit3_base_patch16_224,160,head,0.0000,0.00
deit3_base_patch16_224,224,ffn_mlp,11.1548,66.13
deit3_base_patch16_224,224,attention_qkv,4.1830,24.80
deit3_base_patch16_224,224,attention_proj,1.3943,8.27
deit3_base_patch16_224,224,patch_embed,0.1156,0.69
deit3_base_patch16_224,224,norm,0.0189,0.11
deit3_base_patch16_224,224,other,0.0000,0.00
deit3_base_patch16_224,224,attention_other,0.0000,0.00
